State,Weather,Budget Level,Budget (INR),Transportation Options,Food,Hotels,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights,Number of Days in Package,Average Daily Activity Cost,Average Daily Food Cost,Number of Famous Places Covered,Overall Rating (Out of 5),Discount Percentage,Train Cost (Low),Train Cost (High),Bus Cost (Low),Bus Cost (High),Flight Cost (Low),Flight Cost (High),Car Rental Cost (Low),Car Rental Cost (High)
Meghalaya,Chilly,Medium,16878,Cost Level: Low,Local Cuisine: 873 INR per day,Luxury Resort: 3940 INR per night,"Cherrapunji, Living Root Bridges","Trekking, Cultural Tours, Wildlife Safari",Low,4.4/5,Monsoon,"Khasi, Garo",Very Safe,Yes,Festival,7,1125,873,2,4.4,8,470,1026,168,940,3071,7575,1422,2533
Manipur,Pleasant,Low,49512,Cost Level: Low,Local Cuisine: 1278 INR per day,3-star: 2188 INR per night,"Loktak Lake, Kangla Fort",Cultural Tours,High,4.8/5,Monsoon,Manipuri,Safe for Solo Travelers,No,Art Exhibitions,8,1601,1278,2,4.8,27,501,1717,197,785,3190,9982,933,3020
Nagaland,Sunny,Low,27938,Cost Level: High,Local Cuisine: 1659 INR per day,3-star: 4467 INR per night,"Dzükou Valley, Kohima War Cemetery",Trekking,Moderate,5.0/5,Winter,"English, Nagamese",Very Safe,Yes,Local Traditions,4,1129,1659,2,5.0,12,580,1417,210,883,3285,8810,1337,3956
Meghalaya,Rainy,Low,6088,Cost Level: Low,Local Cuisine: 836 INR per day,3-star: 1465 INR per night,"Living Root Bridges, Cherrapunji",Boating,Low,4.0/5,Monsoon,"Khasi, Garo",Moderately Safe,Yes,Art Exhibitions,9,1390,836,2,4.0,26,371,1678,133,666,4606,6286,1785,3627
Meghalaya,Pleasant,Medium,8837,Cost Level: Low,Local Cuisine: 1784 INR per day,Luxury Resort: 1902 INR per night,"Living Root Bridges, Cherrapunji","Trekking, Wildlife Safari",Low,5.0/5,Summer,"Khasi, Garo",Very Safe,Yes,Art Exhibitions,6,1523,1784,2,5.0,7,332,1462,276,982,3657,6043,1070,3964
Mizoram,Rainy,Low,12204,Cost Level: Low,Local Cuisine: 706 INR per day,Homestay: 1386 INR per night,"Phawngpui National Park, Vantawng Falls",Trekking,High,4.3/5,Winter,Mizo,Very Safe,Yes,Art Exhibitions,5,862,706,2,4.3,16,408,1830,101,785,3423,6748,1821,3140
Tripura,Chilly,Low,28207,Cost Level: High,Local Cuisine: 1609 INR per day,Luxury Resort: 3247 INR per night,"Ujjayanta Palace, Neermahal",River Rafting,High,3.5/5,Winter,"Bengali, Kokborok",Very Safe,No,Art Exhibitions,10,1460,1609,2,3.5,17,365,1010,136,541,3451,7296,996,3030
Meghalaya,Pleasant,High,26518,Cost Level: High,Local Cuisine: 1066 INR per day,Luxury Resort: 1553 INR per night,"Cherrapunji, Living Root Bridges","Boating, Trekking",Moderate,3.8/5,Winter,"Khasi, Garo",Moderately Safe,No,Local Traditions,7,1799,1066,2,3.8,18,779,1648,131,921,3048,7111,993,3631
Tripura,Chilly,Medium,20938,Cost Level: Low,Local Cuisine: 955 INR per day,Homestay: 3396 INR per night,"Ujjayanta Palace, Neermahal",Cultural Tours,Moderate,4.9/5,Winter,"Bengali, Kokborok",Moderately Safe,Yes,Local Traditions,9,1850,955,2,4.9,24,433,1937,181,863,4213,9321,1842,3833
Arunachal Pradesh,Rainy,High,11057,Cost Level: High,Local Cuisine: 1683 INR per day,Homestay: 2255 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Cultural Tours",Low,4.5/5,Summer,"Hindi, English",Safe for Solo Travelers,No,Art Exhibitions,3,967,1683,2,4.5,27,618,1695,181,607,4961,6206,1351,3406
Manipur,Sunny,Low,15986,Cost Level: High,Local Cuisine: 1890 INR per day,Luxury Resort: 2129 INR per night,"Loktak Lake, Kangla Fort","Cultural Tours, River Rafting",Low,3.7/5,Monsoon,Manipuri,Safe for Solo Travelers,No,Festival,3,1515,1890,2,3.7,28,458,1931,298,861,3839,7781,1248,3311
Meghalaya,Rainy,Low,5030,Cost Level: Low,Local Cuisine: 1618 INR per day,3-star: 4677 INR per night,"Cherrapunji, Living Root Bridges","Wildlife Safari, Cultural Tours, River Rafting",Low,4.1/5,Summer,"Khasi, Garo",Very Safe,No,Local Traditions,9,1866,1618,2,4.1,30,577,1970,216,848,3913,9391,1727,3686
Mizoram,Pleasant,Low,32942,Cost Level: Low,Local Cuisine: 1548 INR per day,Luxury Resort: 2855 INR per night,"Vantawng Falls, Phawngpui National Park","River Rafting, Trekking",Low,4.3/5,Monsoon,Mizo,Moderately Safe,No,Art Exhibitions,6,1994,1548,2,4.3,18,384,1869,196,503,4509,6461,1844,2835
Tripura,Rainy,Medium,48266,Cost Level: High,Local Cuisine: 1563 INR per day,3-star: 4407 INR per night,"Neermahal, Ujjayanta Palace",Wildlife Safari,Low,4.4/5,Winter,"Bengali, Kokborok",Very Safe,No,Art Exhibitions,4,787,1563,2,4.4,7,682,1464,129,914,4212,7826,825,3235
Arunachal Pradesh,Pleasant,Low,28505,Cost Level: High,Local Cuisine: 1035 INR per day,Homestay: 2176 INR per night,"Tawang Monastery, Ziro Valley","Trekking, Cultural Tours",Moderate,4.2/5,Monsoon,"Hindi, English",Moderately Safe,No,Festival,6,1721,1035,2,4.2,14,307,1138,280,576,3183,8424,1890,3491
Manipur,Rainy,High,39636,Cost Level: Low,Local Cuisine: 602 INR per day,Homestay: 1784 INR per night,"Loktak Lake, Kangla Fort","Trekking, Cultural Tours",High,4.0/5,Summer,Manipuri,Moderately Safe,No,Art Exhibitions,7,1649,602,2,4.0,30,648,1581,133,628,3697,7022,1545,2874
Manipur,Sunny,High,44249,Cost Level: Low,Local Cuisine: 1791 INR per day,Homestay: 4859 INR per night,"Loktak Lake, Kangla Fort","Cultural Tours, Trekking, Wildlife Safari",Moderate,3.6/5,Monsoon,Manipuri,Moderately Safe,No,Festival,6,1678,1791,2,3.6,8,718,1682,288,823,3077,6620,1470,3665
Mizoram,Chilly,Medium,24856,Cost Level: High,Local Cuisine: 1009 INR per day,3-star: 2401 INR per night,"Phawngpui National Park, Vantawng Falls","Boating, Wildlife Safari, Trekking",Low,4.9/5,Monsoon,Mizo,Very Safe,No,Festival,9,553,1009,2,4.9,12,333,1186,296,861,3748,6415,1169,3220
Arunachal Pradesh,Pleasant,High,45292,Cost Level: High,Local Cuisine: 527 INR per day,Homestay: 3091 INR per night,"Ziro Valley, Tawang Monastery",Wildlife Safari,Low,4.9/5,Monsoon,"Hindi, English",Very Safe,No,Festival,8,653,527,2,4.9,10,679,1885,215,761,4737,9011,1394,3007
Manipur,Chilly,High,47701,Cost Level: Low,Local Cuisine: 1885 INR per day,3-star: 1367 INR per night,"Loktak Lake, Kangla Fort","Wildlife Safari, River Rafting",Moderate,3.9/5,Monsoon,Manipuri,Safe for Solo Travelers,No,Festival,10,1903,1885,2,3.9,7,573,1570,249,705,3696,7656,1212,3379
Tripura,Pleasant,Low,36177,Cost Level: High,Local Cuisine: 1181 INR per day,Luxury Resort: 2696 INR per night,"Neermahal, Ujjayanta Palace","Wildlife Safari, Boating",Low,4.2/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,No,Local Traditions,5,637,1181,2,4.2,30,390,1806,182,771,4575,8438,1565,2862
Manipur,Sunny,Low,23148,Cost Level: Low,Local Cuisine: 796 INR per day,Homestay: 3215 INR per night,"Kangla Fort, Loktak Lake","Trekking, Boating, River Rafting",Low,3.7/5,Monsoon,Manipuri,Safe for Solo Travelers,Yes,Art Exhibitions,10,1518,796,2,3.7,15,641,1476,163,532,3031,9795,1516,3606
Nagaland,Pleasant,Medium,21431,Cost Level: Low,Local Cuisine: 1082 INR per day,Luxury Resort: 1782 INR per night,"Dzükou Valley, Kohima War Cemetery","Trekking, Wildlife Safari",Low,4.9/5,Summer,"English, Nagamese",Safe for Solo Travelers,Yes,Art Exhibitions,9,1587,1082,2,4.9,25,545,1862,270,798,3941,7305,1276,3160
Nagaland,Rainy,High,26746,Cost Level: Low,Local Cuisine: 879 INR per day,Homestay: 2510 INR per night,"Kohima War Cemetery, Dzükou Valley","Boating, Trekking",High,4.1/5,Winter,"English, Nagamese",Safe for Solo Travelers,Yes,Art Exhibitions,4,1467,879,2,4.1,5,507,1670,112,984,4465,7149,906,2791
Tripura,Rainy,High,26230,Cost Level: Low,Local Cuisine: 1178 INR per day,3-star: 3560 INR per night,"Ujjayanta Palace, Neermahal",Boating,Low,4.8/5,Winter,"Bengali, Kokborok",Safe for Solo Travelers,No,Art Exhibitions,10,1405,1178,2,4.8,7,653,1529,249,798,3328,8302,1295,3898
Tripura,Rainy,Low,25726,Cost Level: Low,Local Cuisine: 1822 INR per day,3-star: 1827 INR per night,"Neermahal, Ujjayanta Palace","Cultural Tours, Boating",Low,5.0/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Art Exhibitions,4,1572,1822,2,5.0,21,692,1590,130,947,3025,6734,1980,3249
Manipur,Pleasant,Medium,27434,Cost Level: High,Local Cuisine: 1660 INR per day,Luxury Resort: 1422 INR per night,"Kangla Fort, Loktak Lake","Boating, Cultural Tours, Wildlife Safari",Low,4.8/5,Monsoon,Manipuri,Safe for Solo Travelers,Yes,Local Traditions,8,1425,1660,2,4.8,26,722,1767,146,530,3153,6333,1096,3841
Mizoram,Pleasant,High,29793,Cost Level: High,Local Cuisine: 705 INR per day,3-star: 4719 INR per night,"Phawngpui National Park, Vantawng Falls",Cultural Tours,Moderate,4.6/5,Winter,Mizo,Safe for Solo Travelers,No,Festival,5,543,705,2,4.6,17,771,1148,103,795,3614,8987,1732,3527
Manipur,Rainy,High,24507,Cost Level: Low,Local Cuisine: 933 INR per day,Homestay: 1243 INR per night,"Loktak Lake, Kangla Fort","Cultural Tours, Trekking",Low,3.9/5,Winter,Manipuri,Moderately Safe,Yes,Festival,7,1257,933,2,3.9,11,797,1839,232,988,3540,7574,1932,3433
Arunachal Pradesh,Rainy,Medium,23921,Cost Level: High,Local Cuisine: 983 INR per day,Homestay: 2525 INR per night,"Tawang Monastery, Ziro Valley",Trekking,High,3.9/5,Winter,"Hindi, English",Very Safe,No,Art Exhibitions,9,1681,983,2,3.9,6,527,1012,172,590,4360,6736,1967,3721
Nagaland,Chilly,High,34235,Cost Level: High,Local Cuisine: 763 INR per day,Homestay: 3728 INR per night,"Dzükou Valley, Kohima War Cemetery",River Rafting,High,3.6/5,Winter,"English, Nagamese",Safe for Solo Travelers,Yes,Festival,6,1321,763,2,3.6,16,520,1491,183,847,4293,7417,1029,3893
Tripura,Sunny,High,41990,Cost Level: High,Local Cuisine: 691 INR per day,Homestay: 2844 INR per night,"Ujjayanta Palace, Neermahal",River Rafting,Moderate,3.6/5,Winter,"Bengali, Kokborok",Moderately Safe,Yes,Art Exhibitions,10,705,691,2,3.6,19,308,1339,203,790,3400,8211,1376,3257
Tripura,Rainy,Low,47413,Cost Level: Low,Local Cuisine: 1291 INR per day,Luxury Resort: 3383 INR per night,"Ujjayanta Palace, Neermahal",Wildlife Safari,Moderate,4.0/5,Winter,"Bengali, Kokborok",Safe for Solo Travelers,No,Festival,5,1598,1291,2,4.0,12,367,1411,134,877,4071,7777,956,3361
Assam,Pleasant,High,47786,Cost Level: High,Local Cuisine: 826 INR per day,Luxury Resort: 3401 INR per night,"Majuli Island, Kaziranga National Park","Trekking, Wildlife Safari",Moderate,3.8/5,Summer,Assamese,Very Safe,Yes,Local Traditions,8,500,826,2,3.8,27,616,1005,127,762,3110,8619,1166,3365
Nagaland,Rainy,Low,40257,Cost Level: High,Local Cuisine: 649 INR per day,Luxury Resort: 3091 INR per night,"Dzükou Valley, Kohima War Cemetery",Wildlife Safari,High,4.7/5,Winter,"English, Nagamese",Very Safe,No,Local Traditions,4,924,649,2,4.7,26,504,1336,196,918,4597,8959,934,3289
Nagaland,Pleasant,High,17701,Cost Level: High,Local Cuisine: 1561 INR per day,Luxury Resort: 3190 INR per night,"Dzükou Valley, Kohima War Cemetery","River Rafting, Wildlife Safari",Low,3.9/5,Monsoon,"English, Nagamese",Very Safe,No,Local Traditions,9,1483,1561,2,3.9,24,603,1895,295,754,3447,6782,1506,3113
Manipur,Chilly,Low,22245,Cost Level: Low,Local Cuisine: 1999 INR per day,3-star: 2948 INR per night,"Kangla Fort, Loktak Lake",River Rafting,High,3.7/5,Winter,Manipuri,Very Safe,Yes,Art Exhibitions,4,732,1999,2,3.7,28,540,1694,143,759,3629,7813,1547,2880
Arunachal Pradesh,Chilly,High,13487,Cost Level: Low,Local Cuisine: 1290 INR per day,Luxury Resort: 3659 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Trekking, Cultural Tours",High,3.7/5,Summer,"Hindi, English",Safe for Solo Travelers,No,Local Traditions,8,689,1290,2,3.7,5,749,1514,101,721,4761,6761,1973,2682
Tripura,Chilly,Medium,13338,Cost Level: Low,Local Cuisine: 2000 INR per day,Homestay: 2224 INR per night,"Ujjayanta Palace, Neermahal",Cultural Tours,Moderate,4.0/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Local Traditions,4,1373,2000,2,4.0,7,445,1773,248,697,3326,9627,1989,3558
Manipur,Sunny,High,38365,Cost Level: Low,Local Cuisine: 1276 INR per day,3-star: 2305 INR per night,"Loktak Lake, Kangla Fort",Cultural Tours,High,3.6/5,Summer,Manipuri,Moderately Safe,Yes,Festival,6,1857,1276,2,3.6,28,702,1325,170,845,4243,6875,1576,3869
Arunachal Pradesh,Sunny,Medium,18816,Cost Level: Low,Local Cuisine: 827 INR per day,3-star: 3569 INR per night,"Ziro Valley, Tawang Monastery","Boating, River Rafting",High,4.8/5,Monsoon,"Hindi, English",Very Safe,Yes,Festival,5,1556,827,2,4.8,24,558,1638,217,976,4017,6594,1860,2534
Manipur,Sunny,Medium,20836,Cost Level: Low,Local Cuisine: 1898 INR per day,Luxury Resort: 1419 INR per night,"Loktak Lake, Kangla Fort","Wildlife Safari, Trekking, Cultural Tours",Low,4.6/5,Winter,Manipuri,Moderately Safe,Yes,Local Traditions,8,523,1898,2,4.6,19,705,1423,131,964,3946,6051,1347,3456
Arunachal Pradesh,Chilly,High,19574,Cost Level: High,Local Cuisine: 1949 INR per day,Homestay: 2401 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Wildlife Safari, Boating",Moderate,4.0/5,Monsoon,"Hindi, English",Very Safe,Yes,Art Exhibitions,3,961,1949,2,4.0,5,786,1428,279,541,4569,8170,1786,3870
Tripura,Chilly,High,22316,Cost Level: Low,Local Cuisine: 544 INR per day,Luxury Resort: 1345 INR per night,"Ujjayanta Palace, Neermahal",Trekking,High,3.8/5,Winter,"Bengali, Kokborok",Moderately Safe,No,Festival,9,884,544,2,3.8,25,431,1025,289,572,4969,7778,1645,3109
Manipur,Chilly,Low,18249,Cost Level: High,Local Cuisine: 1913 INR per day,3-star: 2878 INR per night,"Kangla Fort, Loktak Lake",Trekking,Low,4.2/5,Monsoon,Manipuri,Moderately Safe,Yes,Festival,8,1668,1913,2,4.2,20,475,1742,252,665,3956,9412,1385,3926
Mizoram,Chilly,Medium,28203,Cost Level: High,Local Cuisine: 1802 INR per day,3-star: 4560 INR per night,"Vantawng Falls, Phawngpui National Park","Boating, Wildlife Safari, Cultural Tours",Low,4.2/5,Summer,Mizo,Very Safe,Yes,Festival,6,1142,1802,2,4.2,17,482,1521,153,964,4323,7642,1326,3385
Tripura,Sunny,Medium,25089,Cost Level: Low,Local Cuisine: 856 INR per day,3-star: 4323 INR per night,"Ujjayanta Palace, Neermahal","Trekking, Wildlife Safari, River Rafting",High,3.8/5,Winter,"Bengali, Kokborok",Safe for Solo Travelers,No,Festival,8,1634,856,2,3.8,30,493,1960,194,522,3490,8972,809,2761
Meghalaya,Chilly,High,36730,Cost Level: High,Local Cuisine: 1403 INR per day,Homestay: 3717 INR per night,"Living Root Bridges, Cherrapunji","Boating, Trekking",Moderate,3.6/5,Summer,"Khasi, Garo",Very Safe,Yes,Festival,6,1438,1403,2,3.6,25,469,1386,222,803,4730,9504,1506,2735
Assam,Rainy,Medium,7969,Cost Level: High,Local Cuisine: 1899 INR per day,Homestay: 1039 INR per night,"Majuli Island, Kaziranga National Park","Cultural Tours, River Rafting, Trekking",High,3.7/5,Summer,Assamese,Very Safe,No,Festival,8,1777,1899,2,3.7,25,790,1978,191,805,4081,6579,911,3014
Meghalaya,Rainy,Low,37245,Cost Level: High,Local Cuisine: 1436 INR per day,3-star: 2909 INR per night,"Living Root Bridges, Cherrapunji","River Rafting, Wildlife Safari, Cultural Tours",High,3.9/5,Summer,"Khasi, Garo",Safe for Solo Travelers,Yes,Festival,8,1184,1436,2,3.9,13,691,1603,293,973,4063,6908,1180,2827
Manipur,Rainy,Low,46115,Cost Level: High,Local Cuisine: 1828 INR per day,Luxury Resort: 4305 INR per night,"Kangla Fort, Loktak Lake","Cultural Tours, Boating, Wildlife Safari",Low,4.6/5,Winter,Manipuri,Moderately Safe,Yes,Festival,7,684,1828,2,4.6,23,643,1798,263,863,4486,8276,864,3142
Mizoram,Chilly,Low,27319,Cost Level: High,Local Cuisine: 1263 INR per day,Homestay: 2290 INR per night,"Phawngpui National Park, Vantawng Falls","River Rafting, Wildlife Safari, Boating",High,3.6/5,Monsoon,Mizo,Very Safe,Yes,Art Exhibitions,5,645,1263,2,3.6,28,580,1166,233,515,3254,9508,1540,3994
Manipur,Sunny,Low,32741,Cost Level: High,Local Cuisine: 561 INR per day,Luxury Resort: 4284 INR per night,"Loktak Lake, Kangla Fort","Trekking, Boating",High,4.4/5,Winter,Manipuri,Very Safe,No,Festival,7,1723,561,2,4.4,23,335,1139,290,889,3663,8023,1250,3300
Tripura,Pleasant,High,39192,Cost Level: High,Local Cuisine: 1242 INR per day,Luxury Resort: 3746 INR per night,"Neermahal, Ujjayanta Palace","Cultural Tours, Wildlife Safari",Low,3.7/5,Winter,"Bengali, Kokborok",Very Safe,Yes,Art Exhibitions,3,660,1242,2,3.7,18,470,1335,116,677,4165,8775,1245,3063
Mizoram,Sunny,Medium,32276,Cost Level: Low,Local Cuisine: 806 INR per day,Luxury Resort: 4015 INR per night,"Vantawng Falls, Phawngpui National Park","Wildlife Safari, Trekking, Cultural Tours",High,4.4/5,Summer,Mizo,Safe for Solo Travelers,Yes,Festival,6,783,806,2,4.4,10,704,1526,187,964,3459,9237,835,2628
Manipur,Sunny,High,49258,Cost Level: High,Local Cuisine: 1810 INR per day,Luxury Resort: 4663 INR per night,"Kangla Fort, Loktak Lake","Boating, Trekking, River Rafting",Moderate,3.6/5,Summer,Manipuri,Moderately Safe,Yes,Art Exhibitions,10,1392,1810,2,3.6,12,545,1081,147,685,3696,8807,1368,2593
Manipur,Pleasant,Medium,46548,Cost Level: High,Local Cuisine: 917 INR per day,Homestay: 4058 INR per night,"Kangla Fort, Loktak Lake","Boating, River Rafting",Low,3.6/5,Monsoon,Manipuri,Moderately Safe,No,Festival,3,570,917,2,3.6,17,685,1376,287,846,3471,7797,1990,3325
Nagaland,Rainy,Low,38424,Cost Level: High,Local Cuisine: 1859 INR per day,3-star: 2815 INR per night,"Kohima War Cemetery, Dzükou Valley","Trekking, Wildlife Safari",Low,4.7/5,Summer,"English, Nagamese",Safe for Solo Travelers,Yes,Festival,6,626,1859,2,4.7,6,652,1951,299,652,3780,8627,1675,3480
Tripura,Chilly,Low,33253,Cost Level: High,Local Cuisine: 1079 INR per day,3-star: 2464 INR per night,"Neermahal, Ujjayanta Palace","Wildlife Safari, Trekking",High,3.5/5,Summer,"Bengali, Kokborok",Safe for Solo Travelers,No,Festival,4,1059,1079,2,3.5,6,777,1608,207,875,3985,9459,1729,3588
Arunachal Pradesh,Pleasant,Medium,34107,Cost Level: Low,Local Cuisine: 1710 INR per day,Luxury Resort: 1359 INR per night,"Ziro Valley, Tawang Monastery","Cultural Tours, River Rafting",Moderate,5.0/5,Winter,"Hindi, English",Safe for Solo Travelers,No,Festival,6,1424,1710,2,5.0,8,477,1790,151,970,3872,7415,1732,3668
Assam,Pleasant,High,10732,Cost Level: High,Local Cuisine: 1417 INR per day,3-star: 1129 INR per night,"Majuli Island, Kaziranga National Park","Cultural Tours, River Rafting",Low,4.0/5,Monsoon,Assamese,Safe for Solo Travelers,No,Festival,8,813,1417,2,4.0,30,689,1659,224,623,4617,8310,1182,2651
Manipur,Rainy,Medium,7152,Cost Level: High,Local Cuisine: 1819 INR per day,3-star: 4508 INR per night,"Kangla Fort, Loktak Lake","Boating, Wildlife Safari, Cultural Tours",Low,4.2/5,Monsoon,Manipuri,Safe for Solo Travelers,Yes,Art Exhibitions,5,1853,1819,2,4.2,15,335,1484,267,861,3444,6063,1912,2663
Assam,Sunny,High,19830,Cost Level: High,Local Cuisine: 1500 INR per day,Homestay: 2107 INR per night,"Kaziranga National Park, Majuli Island","Boating, Cultural Tours",Moderate,4.7/5,Monsoon,Assamese,Safe for Solo Travelers,Yes,Festival,4,1830,1500,2,4.7,27,392,1665,217,550,3354,8981,1364,2872
Mizoram,Pleasant,High,38406,Cost Level: Low,Local Cuisine: 1660 INR per day,3-star: 2190 INR per night,"Phawngpui National Park, Vantawng Falls",Cultural Tours,Moderate,4.0/5,Summer,Mizo,Safe for Solo Travelers,Yes,Festival,8,850,1660,2,4.0,18,326,1543,231,694,4333,7295,1357,3324
Assam,Rainy,Low,16234,Cost Level: High,Local Cuisine: 1390 INR per day,3-star: 1284 INR per night,"Kaziranga National Park, Majuli Island","River Rafting, Wildlife Safari",High,4.7/5,Summer,Assamese,Safe for Solo Travelers,Yes,Art Exhibitions,9,1178,1390,2,4.7,23,765,1353,114,545,4871,7852,1260,3821
Tripura,Sunny,Medium,31515,Cost Level: Low,Local Cuisine: 705 INR per day,3-star: 3009 INR per night,"Neermahal, Ujjayanta Palace","Wildlife Safari, Trekking",Moderate,3.7/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Local Traditions,4,1933,705,2,3.7,24,799,1733,105,948,3770,8601,987,3377
Tripura,Rainy,Low,43449,Cost Level: Low,Local Cuisine: 1643 INR per day,Homestay: 3169 INR per night,"Ujjayanta Palace, Neermahal","Trekking, Cultural Tours, Boating",Low,4.4/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Festival,3,998,1643,2,4.4,8,649,1869,133,739,4663,8382,881,3849
Meghalaya,Chilly,Medium,24422,Cost Level: Low,Local Cuisine: 1448 INR per day,Homestay: 4190 INR per night,"Living Root Bridges, Cherrapunji","River Rafting, Cultural Tours",Moderate,3.9/5,Summer,"Khasi, Garo",Safe for Solo Travelers,Yes,Local Traditions,7,1858,1448,2,3.9,13,466,1194,291,571,3904,9369,1956,2781
Meghalaya,Sunny,High,32321,Cost Level: High,Local Cuisine: 1483 INR per day,Homestay: 3664 INR per night,"Living Root Bridges, Cherrapunji","Wildlife Safari, Cultural Tours, River Rafting",Low,3.9/5,Winter,"Khasi, Garo",Safe for Solo Travelers,Yes,Festival,3,1124,1483,2,3.9,14,512,1065,250,657,3692,8141,1270,2760
Tripura,Chilly,Medium,19593,Cost Level: Low,Local Cuisine: 1738 INR per day,Homestay: 1011 INR per night,"Ujjayanta Palace, Neermahal","Cultural Tours, Boating, Wildlife Safari",Low,4.6/5,Winter,"Bengali, Kokborok",Very Safe,Yes,Local Traditions,8,1112,1738,2,4.6,29,365,1277,105,908,4344,7496,1677,2633
Manipur,Chilly,Medium,44902,Cost Level: Low,Local Cuisine: 699 INR per day,3-star: 4435 INR per night,"Kangla Fort, Loktak Lake","Wildlife Safari, Boating, Cultural Tours",High,4.8/5,Monsoon,Manipuri,Very Safe,No,Festival,10,1092,699,2,4.8,12,359,1628,292,657,3061,8549,938,3322
Tripura,Pleasant,Medium,11082,Cost Level: High,Local Cuisine: 933 INR per day,3-star: 1939 INR per night,"Ujjayanta Palace, Neermahal","River Rafting, Trekking",Moderate,4.8/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,No,Local Traditions,10,560,933,2,4.8,21,487,1930,239,657,3644,7945,1661,2581
Arunachal Pradesh,Rainy,High,16743,Cost Level: High,Local Cuisine: 774 INR per day,Homestay: 1988 INR per night,"Ziro Valley, Tawang Monastery","Cultural Tours, Trekking",Low,4.9/5,Monsoon,"Hindi, English",Safe for Solo Travelers,No,Festival,9,949,774,2,4.9,24,480,1528,114,878,3215,7978,908,2849
Arunachal Pradesh,Chilly,High,47476,Cost Level: High,Local Cuisine: 1573 INR per day,3-star: 3688 INR per night,"Tawang Monastery, Ziro Valley",Cultural Tours,Moderate,3.5/5,Summer,"Hindi, English",Very Safe,Yes,Local Traditions,5,1874,1573,2,3.5,27,676,1548,117,885,3697,7154,1998,3865
Tripura,Pleasant,Low,41612,Cost Level: Low,Local Cuisine: 1152 INR per day,Homestay: 3993 INR per night,"Ujjayanta Palace, Neermahal","Boating, Wildlife Safari, River Rafting",High,3.9/5,Summer,"Bengali, Kokborok",Moderately Safe,Yes,Art Exhibitions,3,910,1152,2,3.9,19,689,1252,112,963,4568,6976,1823,3313
Mizoram,Sunny,Medium,10615,Cost Level: High,Local Cuisine: 1976 INR per day,Luxury Resort: 4520 INR per night,"Vantawng Falls, Phawngpui National Park",Cultural Tours,Low,3.7/5,Winter,Mizo,Very Safe,No,Festival,3,597,1976,2,3.7,19,753,1590,241,919,3995,7526,1785,2865
Assam,Chilly,Medium,32249,Cost Level: High,Local Cuisine: 886 INR per day,3-star: 2370 INR per night,"Kaziranga National Park, Majuli Island",Wildlife Safari,High,4.1/5,Summer,Assamese,Moderately Safe,No,Festival,7,785,886,2,4.1,14,433,1579,109,637,3876,7383,1164,2564
Arunachal Pradesh,Rainy,Low,15979,Cost Level: High,Local Cuisine: 773 INR per day,3-star: 3718 INR per night,"Ziro Valley, Tawang Monastery",Boating,Low,3.5/5,Monsoon,"Hindi, English",Moderately Safe,Yes,Art Exhibitions,3,1989,773,2,3.5,6,429,1259,167,632,4361,7796,1429,3793
Assam,Pleasant,Low,40509,Cost Level: Low,Local Cuisine: 1439 INR per day,3-star: 3581 INR per night,"Majuli Island, Kaziranga National Park",Trekking,Moderate,4.0/5,Summer,Assamese,Moderately Safe,Yes,Festival,6,1118,1439,2,4.0,16,751,1079,127,832,3595,9692,1397,3720
Arunachal Pradesh,Sunny,Low,29502,Cost Level: Low,Local Cuisine: 1389 INR per day,Homestay: 1779 INR per night,"Ziro Valley, Tawang Monastery","Cultural Tours, Trekking, Wildlife Safari",Low,3.6/5,Winter,"Hindi, English",Moderately Safe,No,Festival,4,1025,1389,2,3.6,27,780,1105,160,612,3547,7594,1952,3586
Arunachal Pradesh,Chilly,Low,9076,Cost Level: High,Local Cuisine: 1133 INR per day,3-star: 2613 INR per night,"Ziro Valley, Tawang Monastery","Wildlife Safari, Boating",Moderate,4.2/5,Summer,"Hindi, English",Moderately Safe,Yes,Festival,7,882,1133,2,4.2,19,401,1715,200,873,3711,9540,1357,3507
Nagaland,Chilly,High,12123,Cost Level: High,Local Cuisine: 1325 INR per day,Luxury Resort: 4139 INR per night,"Kohima War Cemetery, Dzükou Valley","Trekking, Boating",Low,4.7/5,Summer,"English, Nagamese",Moderately Safe,No,Local Traditions,9,1794,1325,2,4.7,7,769,1483,207,524,4397,6188,1751,2640
Assam,Pleasant,Medium,31985,Cost Level: Low,Local Cuisine: 1667 INR per day,Homestay: 2501 INR per night,"Majuli Island, Kaziranga National Park","Boating, Trekking, River Rafting",Moderate,4.6/5,Winter,Assamese,Very Safe,Yes,Local Traditions,9,990,1667,2,4.6,19,335,1365,269,919,3428,6764,1444,3509
